GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010
"G25002707261001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277261001",,,"Block Group 1, Census Tract 7261, Worcester County, Massachusetts",2545,2359,76,0,41,0,0,69,0,69,"Block Group 1, Census Tract 7261, Worcester County, Massachusetts",757,755,114,13,46,13,13,111,13,111
"G25002707261002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277261002",,,"Block Group 2, Census Tract 7261, Worcester County, Massachusetts",878,878,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 7261, Worcester County, Massachusetts",253,253,13,13,13,13,13,13,13,13
"G25002707261003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277261003",,,"Block Group 3, Census Tract 7261, Worcester County, Massachusetts",877,877,0,0,0,0,0,0,0,0,"Block Group 3, Census Tract 7261, Worcester County, Massachusetts",387,387,13,13,13,13,13,13,13,13
"G25002707261004","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726100","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277261004",,,"Block Group 4, Census Tract 7261, Worcester County, Massachusetts",942,894,0,0,0,0,0,48,0,48,"Block Group 4, Census Tract 7261, Worcester County, Massachusetts",348,352,13,13,13,13,13,75,13,75
"G25002707261005","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726100","5",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277261005",,,"Block Group 5, Census Tract 7261, Worcester County, Massachusetts",890,884,4,0,0,0,0,2,2,0,"Block Group 5, Census Tract 7261, Worcester County, Massachusetts",271,273,9,13,13,13,13,5,5,13
"G25002707262001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726200","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277262001",,,"Block Group 1, Census Tract 7262, Worcester County, Massachusetts",1912,1833,31,0,16,0,0,32,0,32,"Block Group 1, Census Tract 7262, Worcester County, Massachusetts",626,632,54,13,28,13,13,57,13,57
"G25002707262002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726200","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277262002",,,"Block Group 2, Census Tract 7262, Worcester County, Massachusetts",815,799,0,0,0,0,0,16,1,15,"Block Group 2, Census Tract 7262, Worcester County, Massachusetts",380,376,13,13,13,13,13,24,3,24
"G25002707262003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726200","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277262003",,,"Block Group 3, Census Tract 7262, Worcester County, Massachusetts",1548,904,57,0,373,0,0,214,0,214,"Block Group 3, Census Tract 7262, Worcester County, Massachusetts",556,350,63,13,496,13,13,172,13,172
"G25002707262004","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"726200","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277262004",,,"Block Group 4, Census Tract 7262, Worcester County, Massachusetts",1535,1535,0,0,0,0,0,0,0,0,"Block Group 4, Census Tract 7262, Worcester County, Massachusetts",383,383,13,13,13,13,13,13,13,13
"G25002707271001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"727100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277271001",,,"Block Group 1, Census Tract 7271, Worcester County, Massachusetts",1651,1373,244,0,11,0,17,6,0,6,"Block Group 1, Census Tract 7271, Worcester County, Massachusetts",385,326,267,13,17,13,29,10,13,10
"G25002707271002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"727100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277271002",,,"Block Group 2, Census Tract 7271, Worcester County, Massachusetts",3310,2988,166,0,69,6,9,72,47,25,"Block Group 2, Census Tract 7271, Worcester County, Massachusetts",387,383,144,13,96,12,12,66,62,24
"G25002707281001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728100","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277281001",,,"Block Group 1, Census Tract 7281, Worcester County, Massachusetts",2212,2128,0,11,48,0,0,25,0,25,"Block Group 1, Census Tract 7281, Worcester County, Massachusetts",388,390,13,17,59,13,13,30,13,30
"G25002707281002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728100","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277281002",,,"Block Group 2, Census Tract 7281, Worcester County, Massachusetts",1684,1542,76,0,57,0,9,0,0,0,"Block Group 2, Census Tract 7281, Worcester County, Massachusetts",340,357,85,13,61,13,16,13,13,13
"G25002707281003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728100","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277281003",,,"Block Group 3, Census Tract 7281, Worcester County, Massachusetts",1383,1338,9,0,0,0,0,36,0,36,"Block Group 3, Census Tract 7281, Worcester County, Massachusetts",344,352,14,13,13,13,13,41,13,41
"G25002707282001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728200","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277282001",,,"Block Group 1, Census Tract 7282, Worcester County, Massachusetts",965,965,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 7282, Worcester County, Massachusetts",208,208,13,13,13,13,13,13,13,13
"G25002707282002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728200","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277282002",,,"Block Group 2, Census Tract 7282, Worcester County, Massachusetts",568,508,53,0,0,0,0,7,0,7,"Block Group 2, Census Tract 7282, Worcester County, Massachusetts",180,179,65,13,13,13,13,11,13,11
"G25002707282003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"728200","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277282003",,,"Block Group 3, Census Tract 7282, Worcester County, Massachusetts",967,902,1,0,0,0,3,61,1,60,"Block Group 3, Census Tract 7282, Worcester County, Massachusetts",255,231,4,13,13,13,5,92,3,92
